Semaine;Arrivees;Evenement;Periode;Population_estimee;Besoin_eau_L_jour;Source_principale
1;217;;Jan-Mar;8217;164340;2 puits + camion-citerne
2;245;;Jan-Mar;8462;169240;2 puits + camion-citerne
3;210;;Jan-Mar;8672;173440;2 puits + camion-citerne
4;238;;Jan-Mar;8910;178200;2 puits + camion-citerne
5;233;;Jan-Mar;9143;182860;2 puits + camion-citerne
6;266;Panne camion rationnement 15L;Jan-Mar;9409;141135;2 puits + camion-citerne (panne)
7;258;;Jan-Mar;9667;193340;2 puits + camion-citerne
8;249;;Jan-Mar;9916;198320;2 puits + camion-citerne
9;238;;Jan-Mar;10154;203080;2 puits + camion-citerne
10;230;;Jan-Mar;10384;207680;2 puits + camion-citerne
11;252;;Jan-Mar;10636;212720;2 puits + camion-citerne
12;200;;Jan-Mar;10836;216720;2 puits + camion-citerne
1;112;;Avril;10948;218960;2 puits + camion-citerne
2;100;;Avril;11048;220960;2 puits + camion-citerne
1;200;Departs volontaires;Mai;10848;216960;2 puits + camion-citerne
1;45;;Mai;10893;217860;2 puits + camion-citerne
2;48;;Mai;10941;218820;2 puits + camion-citerne
2;33;;Mai;10974;219480;2 puits + camion-citerne
2;1050;Afflux massif;Juin;12024;240480;2 puits + camion-citerne
2;1050;Protocole urgence 15L;Juin;13074;196110;2 puits + camion-citerne
2;228;;Juin;13302;266040;2 puits + camion-citerne
2;30;Capacite presque atteinte;Juillet;13332;266640;2 puits + camion-citerne
2;25;Capacite presque atteinte;Juillet;13357;267140;2 puits + camion-citerne
2;20;Capacite presque atteinte;Juillet;13377;267540;2 puits + camion-citerne
3;22;Capacite presque atteinte;Juillet;13399;267980;2 puits + camion-citerne
3;25;Saturation arrivees=departs;Aout;13424;268480;3 forage + camion-citerne
3;30;Nouveau puits fore;Aout;13454;269080;3 forage + camion-citerne
3;28;;Aout;13482;269640;3 forage + camion-citerne
3;26;;Aout;13508;270160;3 forage + camion-citerne
3;24;;Aout;13532;270640;3 forage + camion-citerne
3;18;;Sept-Dec;13550;271000;3 forage + camion-citerne
3;15;Stabilisation;Sept-Dec;13565;271300;3 forage + camion-citerne
3;20;Stabilisation;Sept-Dec;13585;271700;3 forage + camion-citerne
4;18;Stabilisation;Sept-Dec;13603;272060;3 forage + camion-citerne
4;15;Stabilisation;Sept-Dec;13618;272360;3 forage + camion-citerne
4;12;Stabilisation;Sept-Dec;13630;272600;3 forage + camion-citerne
4;10;Stabilisation;Sept-Dec;13640;272800;3 forage + camion-citerne
4;15;Stabilisation;Sept-Dec;13655;273100;3 forage + camion-citerne
4;20;Stabilisation;Sept-Dec;13675;273500;3 forage + camion-citerne
4;18;Stabilisation;Sept-Dec;13693;273860;3 forage + camion-citerne
4;22;Stabilisation;Sept-Dec;13715;274300;3 forage + camion-citerne
